rubro,linea,nombre_base,nombre_ejemplo
Flotante Kronotex,Water Resistant,Flotante Exclusivo Pewen M1022 Arizona Eiche Grau Caja Blanca Water Resistant,Flotante Exclusivo Pewen M1022 Arizona Eiche Grau Caja Blanca Water Resistant
Flotante One,Flotante One,Flotante One Cerezo 2 Lamas Cod. Spy 69 Silver,Flotante One Cerezo 2 Lamas Cod. spy-69 Silver 8.2 mm -
Flotante One,Flotante One,Flotante One Cerezo Brasil Cod. Yt 6199 Silver,Flotante One Cerezo Brasil Cod. yt-6199 Silver 8.2 mm -
Flotante One,Flotante One,Flotante One Cerezo Fireland Cod. Yt 28 Silver,Flotante One Cerezo Fireland Cod. yt-28 Silver 8.2 mm -
Flotante One,Flotante One,Flotante One Nogal Rojo Cod.6353A Silver,Flotante One Nogal Rojo Cod.6353A Silver 8.2 mm -
Flotante One,Flotante One,Flotante One Roble Atlanta Cod. Cxm 155 Gold,Flotante One Roble Atlanta Cod. cxm-155 Gold 8.2 mm -
Flotante One,Flotante One,Flotante One Roble Ohio Cod. Xm 759 Silver,Flotante One Roble Ohio Cod. xm-759 Silver 8.2 mm -
Flotante Outlet,Flotante Outlet,Flotante Krono Original []330 Light Beige,Flotante Krono Original []330 Light Beige - -
Flotante Outlet,Flotante Outlet,Flotante Krono Original []5552 Eiche Weib Geolt Ac4,Flotante Krono Original []5552 Eiche Weib Geolt AC4 -
Flotante Outlet,Flotante Outlet,Flotante Krono Original []6096 Oak Natural Plank Ac4,Flotante Krono Original []6096 Oak Natural Plank - AC4
Flotante Outlet,Flotante Outlet,"Flotante Krono Original []8634 Light Brushed Oak Base: 2,26 Ac4","Flotante Krono Original []8634 Light Brushed Oak base: 2,26 AC4"
Flotante Outlet,Flotante Outlet,Flotante Krono Original []88461 St. Moritz Oak Ac4,Flotante Krono Original []88461 St. Moritz Oak AC4 -
Flotante Outlet,Flotante Outlet,Flotante Krono Original []K269 Eggshell Oak Ac4,Flotante Krono Original []K269 Eggshell Oak - AC4
Flotante Outlet,Outlet 10mm,Flotante Oferta Kronotex Roble Patagonico,Flotante Oferta Kronotex Roble Patagonico -
Flotante Outlet,Outlet 12mm,Flotante Kronotex Premium Oak Nature 4955 Robusto,Flotante Kronotex Premium Oak Nature 4955 Robusto -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Australia Oak 3970,Flotante Oferta K.Original Australia Oak 3970 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Eiche Antik 2St 4078,Flotante Oferta K.Original Eiche Antik 2st 4078 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Eiche Trend 2St 4074,Flotante Oferta K.Original Eiche Trend 2st 4074 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Nuss Elegance 2St 4092,Flotante Oferta K.Original Nuss Elegance 2st 4092 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Ontario Driftwood K040,Flotante Oferta K.Original Ontario Driftwood K040 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Oxford Oak 8843,Flotante Oferta K.Original Oxford Oak 8843 8 mm -
Flotante Outlet,Outlet 8mm,Flotante Oferta K.Original Risseiche Choco 2St 4082,Flotante Oferta K.Original Risseiche Choco 2st 4082 8 mm -
Flotante Outlet,Outlet 8mm Bisel,Flotante Kronotex Atlas Oak White D 3223 (Caja Exquisit) Exquisit,Flotante Kronotex Atlas Oak White D-3223 (Caja Exquisit) Exquisit -
Flotante Outlet,Outlet 8mm Bisel,Flotante Superior Roble Sutter D 742 Advanced (Bisel),Flotante Superior Roble Sutter D-742 Advanced 8mm (Bisel) -
Flotante Outlet,Water Resistant,"Flotante Exclusivo Pewen []5948 Renaissance Oak Ac5 Water Resistant Base:1,48","Flotante Exclusivo Pewen []5948 Renaissance Oak AC5 Water Resistant 12mm base:1,48"
Flotante Outlet,Water Resistant,"Flotante Krono Original []5948 Renaissance Oak Ac5 Water Resistant Base:1,76","Flotante Krono Original []5948 Renaissance Oak AC5 Water Resistant 10mm base:1,76"
Flotante Outlet,Water Resistant,Flotante Krono Original []7005 Oak Tradition Hudson Bay Water Resistant Herringbone,Flotante Krono Original []7005 Oak Tradition Hudson Bay Water Resistant Herringbone
Flotante Outlet,Water Resistant,Flotante Krono Original []K452 Ashland Oak Ac4 Water Resistant,Flotante Krono Original []K452 Ashland Oak AC4 Water Resistant -
Flotante Quick-Step,Eligna Wide,Flotante Quick Step 3676 Roble Claro Aserrado Eligna Wide,Flotante Quick-Step 3676 Roble Claro Aserrado Eligna Wide -
Flotante Quick-Step,Eligna Wide,Flotante Quick Step 3680 Roble Grisaceo Eligna Wide,Flotante Quick-Step 3680 Roble Grisaceo Eligna Wide -
Flotante Quick-Step,Eligna Wide,Flotante Quick Step 3784 Roble Natural Restaurado Eligna Wide,Flotante Quick-Step 3784 Roble Natural Restaurado Eligna Wide -
Flotante Water Resistan,Flotante Water Resistan,Flotante Krono Original 245 Blonde Forest Caja Fuzion Ac5 Water Resistant,Flotante Krono Original 245 Blonde Forest - Caja Fuzion AC5 - Water Resistant
Flotante Water Resistan,Flotante Water Resistan,Flotante Krono Original 5947 History Oak More Ac6 Water Resistant,Flotante Krono Original 5947 History Oak - MORE AC6 - Water Resistant
Flotante Water Resistan,Flotante Water Resistan,Flotante Krono Original 8575 Blonde Oak Caja Cello Con Manta Water Resistant,Flotante Krono Original 8575 Blonde Oak Caja Cello con Manta Water Resistant
Flotante Water Resistan,H2o,Flotante Water Resistant 44 Acatia H2O Laminate Ac4,Flotante Water Resistant 44 Acatia H2o Laminate AC4 -
Flotante Water Resistan,H2o,Flotante Water Resistant 44 Edge H2O Laminate Ac4,Flotante Water Resistant 44 Edge H2o Laminate AC4 -
Flotante Water Resistan,H2o,Flotante Water Resistant 44 Manara H2O Laminate Ac4,Flotante Water Resistant 44 Manara H2o Laminate AC4 -
Flotante Water Resistan,H2o,Flotante Water Resistant 44 Pulse H2O Laminate Ac4,Flotante Water Resistant 44 Pulse H2o Laminate AC4 -
Flotante Water Resistan,Water Resistant,Flotante Exclusivo Pewen K653 Ecru Cantal Oak Water Resistant,Flotante Exclusivo Pewen K653 Ecru Cantal Oak - Water Resistant
Flotante Water Resistan,Water Resistant,Flotante Krono Original K489 Bourbon Hills Water Resistant,Flotante Krono Original K489 Bourbon Hills (7+1 con Corcho) Water Resistant
Flotante Water Resistan,Water Resistant,Flotante Krono Original K670 Laguna Hills Water Resistant,Flotante Krono Original K670 LAGUNA HILLS (8+1 con Corcho) Water Resistant
Flotante Water Resistan,Water Resistant,Flotante Krono Original K672 Arielle Sands Water Resistant,Flotante Krono Original K672 ARIELLE SANDS (8+1 con Corcho) Water Resistant
Flotante Water Resistan,Water Resistant,Flotante Kronotex 3902 Laminaat Maris Beige Eiken Water Resistant,Flotante Kronotex 3902 Laminaat Maris beige eiken Water Resistant -
Flotante Water Resistan,Water Resistant,Flotante Kronotex 4617 Laminaat Maris Natuur Eiken Water Resistant,Flotante Kronotex 4617 Laminaat Maris natuur eiken Water Resistant -
LVT,Challet Click,Lvt Roble Antiguo Gris Clt 980 Chalet Clic,LVT Roble Antiguo Gris CLT-980 Chalet Clic -
LVT,Challet Click,Lvt Roble Escandinavo Clt 977 Chalet Clic,LVT Roble Escandinavo CLT-977 Chalet Clic -
LVT,Challet Click,Lvt Roble Nature Clt 973 Chalet Clic Chalet Clic,LVT Roble Nature CLT-973 Chalet Clic Chalet Clic -
LVT,Challet Click,Lvt Roble Puma Clt 985 Chalet Clic,LVT Roble Puma CLT-985 Chalet Clic -
LVT,Click Collection,Lvt Roble Clasico Alpina D 794 Click Collection,LVT Roble Clasico Alpina D-794 Click Collection -
LVT,Click Collection,Lvt Roble Clasico Claro D 793 Click Collection,LVT Roble Clasico Claro D-793 Click Collection -
LVT,Click Collection,Lvt Roble Classic Gris D 792 Click Collection,LVT Roble Classic Gris D-792 Click Collection -
LVT,Concreto,Lvt Blanco 5002 Concreto,LVT Blanco 5002 Concreto -
LVT,Oasis,Lvt Roble Gris D 1002 Oasis,LVT Roble Gris D-1002 Oasis -
LVT,Sierra,Lvt Arce Oscuro D 16011 Sierra,LVT Arce Oscuro D-16011 Sierra -
LVT,Sierra,Lvt Fresno Gris D 15008 Sierra 2,LVT Fresno Gris D-15008 Sierra 2 -
LVT,Sierra,Lvt Roble Claro D 1004 Sierra 2,LVT Roble Claro D-1004 Sierra 2 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Columbian 226 M Click 40,Vinilico Berry Aloc Columbian 226 M Click 40 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Columbian 296 L Click 40 (Nuevo),Vinilico Berry Aloc Columbian 296 L Click 40 (NUEVO) -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Columbian Oak 261 L Click 40,Vinilico Berry Aloc Columbian Oak 261 l Click 40 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Disa 101 S Click 55,Vinilico Berry Aloc Disa 101 S Click 55 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Lime 623 M Click 40,Vinilico Berry Aloc Lime 623 M Click 40 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Lime 954 D Click 40,Vinilico Berry Aloc Lime 954 D Click 40 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Lime 966 S Click 40 (Nuevo),Vinilico Berry Aloc Lime 966 S Click 40 (NUEVO) -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Toulon 109 S Click 40,Vinilico Berry Aloc Toulon 109 S Click 40 -
LVT BERRY ALLOC,Berry Alloc,Vinilico Berry Aloc Zinc 616 M Click 55,Vinilico Berry Aloc Zinc 616 M Click 55 -
ORCA,ORCA,Flotante Krono Original 1523 Montreal Oak Ac5 Orca Con Manta,Flotante Krono Original 1523 Montreal Oak AC5 ORCA con Manta
ORCA,ORCA,Flotante Krono Original 5947 Historic Oak Orca,Flotante Krono Original 5947 Historic Oak (Nuevo 1519) ORCA -
ORCA,ORCA,Flotante Krono Original K287 Steelworks Oak Orca,Flotante Krono Original K287 Steelworks Oak ORCA -
ORCA,ORCA,Flotante Krono Original K395 Tornado Oak Orca,Flotante Krono Original K395 Tornado Oak (Nuevo 1531) ORCA -
ORCA,ORCA,Flotante Krono Original K406 Eurus Oak (Nuevo Orca,Flotante Krono Original K406 Eurus Oak (Nuevo  ORCA -
ORCA,ORCA,Flotante Krono Original K663 Wood Tegernsee Oak Orca,Flotante Krono Original K663 Wood Tegernsee Oak (6+1 con Corcho) ORCA
ORCA,ORCA,Flotante Krono Original K664 Hare Tagernsee Oak Ac5 Orca Con Manta,Flotante Krono Original K664 Hare Tagernsee Oak AC5 ORCA con Manta
ORCA,ORCA,Flotante Krono Original S354 Oak Faro Orca,Flotante Krono Original S354 Oak Faro (6+1 con Corcho) ORCA
ORCA,ORCA,Flotante Krono Original []1530 Bristol Oak Orca Ac5,Flotante Krono Original []1530 Bristol Oak ORCA AC5
ORCA,ORCA,Flotante Krono Original []8006 Diego Organic Click Orca,Flotante Krono Original []8006 Diego Organic Click ORCA -
ORCA,ORCA,Flotante Krono Original []8575 Camrose Oak Orca Con Manta,Flotante Krono Original []8575 Camrose Oak ORCA con Manta -
ORCA,ORCA,Flotante Krono Original []Eiche Halsa 30127924 Orca Ac5,Flotante Krono Original []EICHE HALSA 30127924 ORCA AC5
ORCA,ORCA,Flotante Krono Original []Eiche Molde 29527373 Orca Ac5,Flotante Krono Original []EICHE MOLDE 29527373 ORCA AC5
ORCA,ORCA,Flotante Krono Original []Eiche Rana 30115938 Orca Ac5,Flotante Krono Original []EICHE RANA 30115938 ORCA AC5
ORCA,ORCA,Flotante Krono Original []Eiche Vest 30040377 Orca Ac5,Flotante Krono Original []EICHE VEST 30040377 ORCA AC5
ORCA,ORCA,Flotante Krono Original []K445 Ethereal Oak Orca,Flotante Krono Original []K445 Ethereal Oak ORCA -
ORCA,ORCA,Flotante Krono Original []R71012 Savana Orca Con Manta Ac5,Flotante Krono Original []R71012 Savana ORCA con Manta AC5
ORCA,ORCA,Flotante Krono Original []Spirit Oak 28305521 Orca,Flotante Krono Original []Spirit Oak 28305521 ORCA -
Outlet ABA,Outlet ABA,Aba Jmw1626,"ABA JMW1626 7,5mm (1,5 LVT + 5,0 WPC + 1,0 Corcho+EIR+0,55 wl) -"
Outlet ABA,Outlet ABA,Aba Jmw25101,"ABA JMW25101 8,0mm (1,5 LVT + 5,0 WPC + 1,5 Corcho + 0,5 wl) -"
Outlet ABA,Outlet ABA,Aba Jmw26810,"ABA JMW26810 5.5 mm (1,5 LVT + 4,0 WPC + 0,30 wl) -"
Outlet ABA,Outlet ABA,Aba Jmw2823,"ABA JMW2823 7,5mm (1,5 LVT + 5,0 WPC + 1,0 Corcho+EIR+0,55 wl) -"
Outlet ABA,Outlet ABA,Aba Jmw50801,"ABA JMW50801 8,5mm (2,0 LVT + 5,0 WPC + 1,5 Corcho + 0,55 wl) -"
Outlet ABA,Outlet ABA,Aba Jmw50809,"ABA JMW50809 7,8mm (1,8 LVT + 4,5 WPC + 1,5 Corcho + 0,55 wl) -"
Outlet ABA,Outlet ABA,"Aba Jmw6844 Base:1,71","ABA JMW6844 (1522*225*6.5*0.5) Base:1,71 - -"
Outlet ABA,Outlet ABA,"Aba Jmw70604 Base:1,65","ABA JMW70604 (1220*225*6.5*0.5) Base:1,65 - -"
Outlet ABA,Outlet ABA,Aba Oak Cantine R 010 02 Wpc + Lvt,ABA Oak Cantine R-010-02 4mm WPC + 1.5mm LVT (0.3wl) -
Outlet ABA,Outlet ABA,Aba Sanded Oak Sahara,ABA Sanded Oak Sahara 9mm (6.5mm WPC + 1.5mm LVT+1 ixpe) -
Outlet LVT,Outlet LVT,Lvt Oferta 63535,LVT Oferta 63535 5 mm (0.5 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta 9671 5,LVT Oferta 9671-5 4.2 mm (0.3 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Gunstock Oak Hlvp2000,LVT Oferta Gunstock Oak - HLVP2000 - -
Outlet LVT,Outlet LVT,Lvt Oferta Jmw025,LVT Oferta JMW025 4 mm (0.3 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Jmw073 + Eir,LVT Oferta JMW073 5 mm (0.55 wl) + EIR -
Outlet LVT,Outlet LVT,Lvt Oferta Jmw077,LVT Oferta JMW077 5 mm (0.35 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Jmw081,LVT Oferta JMW081 5mm (0.35mm wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Jmw51089,"LVT Oferta JMW51089 (1210*180*4.5/0.25*1,74m2) - -"
Outlet LVT,Outlet LVT,Lvt Oferta Jmw53409,LVT Oferta JMW53409 4.5 mm (0.25 wl) -
Outlet LVT,Outlet LVT,"Lvt Oferta Jmw6315 Base:1,71","LVT Oferta JMW6315 (1522*225*6.5*0.55) Base:1,71 - -"
Outlet LVT,Outlet LVT,Lvt Oferta Jmw6612,LVT Oferta JMW6612 5 mm (0.55 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Roble Davie + Eir,LVT Oferta Roble Davie 4.5 mm (0.35 wl) + EIR -
Outlet LVT,Outlet LVT,Lvt Oferta Roble Dpral + Eir,LVT Oferta Roble Dpral 5 mm (0.55 wl) + EIR -
Outlet LVT,Outlet LVT,Lvt Oferta Roble Wcv2012,LVT Oferta Roble WCV2012 5 mm (0.3 wl) -
Outlet LVT,Outlet LVT,Lvt Oferta Walnut 638 1,LVT Oferta Walnut 638-1 4.2 mm (0.3 wl) -
Outlet LVT,Outlet LVT,Multilaminado Guatambú Primera,Multilaminado Guatambú Primera 15mm 15 mm -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 1101 Chakra Para Pegar,LVT Oferta 1101 Chakra 2mm (0.15 wl) Para Pegar -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 1122 Downward Dog Para Pegar,LVT Oferta 1122 Downward Dog 2mm (0.15 wl) Para Pegar -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 1571 Cool Para Pegar,LVT Oferta 1571 Cool 2mm (0.15 wl) Para Pegar -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 2103 Wild Thing Para Pegar,LVT Oferta 2103 Wild Thing 2mm (0.15 wl) Para Pegar -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 44 Ch9322 (Dryback),"LVT Oferta 44 CH9322 (2mm/0,3wl) (Dryback)"
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 44 Ch9407 (Dryback),"LVT Oferta 44 CH9407 (2mm/0,3wl) (Dryback)"
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 44 Db 3004 (Dryback),"LVT Oferta 44 DB-3004 (2mm/0,3wl) (Dryback)"
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta 44 Db 5506 (Dryback),"LVT Oferta 44 DB-5506 (2,5mm/0,55wl) (Dryback)"
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta Jmw035 / 0.3Wl,LVT Oferta JMW035 2mm / 0.3wl -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta Jmw077 / 0.3Wl,LVT Oferta JMW077 2mm / 0.3wl -
Outlet LVT Pegable,Outlet LVT Pegable,Lvt Oferta Jmw23318 / 0.3Wl,LVT Oferta JMW23318 2mm / 0.3wl -
Outlet SPC,4mm + 0.3wl,"Spc Oferta Volga White Oak Base: 2,86","SPC Oferta Volga White Oak (1220*180*4/0.3wl) Base: 2,86 - -"
Outlet SPC,4mm + 0.5wl,"Spc Oferta Brown Oak Base: 2,86","SPC Oferta Brown Oak (1220*180*4/0.5wl) Base: 2,86 - -"
Outlet SPC,4mm + 1 EVA + 0.5,2321 Alaska Con Manta Caja Marron,(SPC en 44) 2321 Alaska con Manta - Caja Marron
Outlet SPC,4mm + 1 EVA + 0.5,2325 Arizona Con Manta Caja Marron,(SPC en 44) 2325 Arizona con Manta - Caja Marron
Outlet SPC,4mm + 1 EVA + 0.5,6612 California Con Manta Caja Marron,(SPC en 44) 6612 California con Manta - Caja Marron
Outlet SPC,4mm + 1 EVA + 0.5,"Spc 44136 Base: 2,48","SPC 44136 (1220*127*4*0,5+1EVA) Base: 2,48 - -"
Outlet SPC,Outlet SPC,Aba Jmw073S,"ABA JMW073S 7,5mm (2 lvt + 4,5 WPC +1,5 EVA) - -"
Outlet SPC,Outlet SPC,"Spc Exclusivo Pewen 80107 Manto 1,5 Eva /Base 1,76","SPC Exclusivo Pewen 80107 (6,5*180*1220/0,3) Manto 1,5 EVA /Base 1,76 - -"
Outlet SPC,Outlet SPC,Spc L5001,SPC L5001 (1540*228*4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc L5004,SPC L5004 (1540*228*4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc L5005,SPC L5005 (1540*228*4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc L5006,SPC L5006 (1540*228*4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc L5008,SPC L5008 (1540*228*4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc Oferta 1002,SPC Oferta 1002 (1540x230x4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc Oferta 10381,SPC Oferta 10381 (1540x230x4+1/0.3) - -
Outlet SPC,Outlet SPC,Spc Oferta 1063 1,SPC Oferta 1063-1 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 1123 57 Base: 2.24,SPC Oferta 1123-57 (150*935*4*0.3) Base: 2.24 - -
Outlet SPC,Outlet SPC,Spc Oferta 13031 11,"SPC Oferta 13031-11 (4mm+1 EVA / 0,3 wl) - -"
Outlet SPC,Outlet SPC,Spc Oferta 189 1,"SPC Oferta 189-1 (Caja Marron 2,43) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 189 3,"SPC Oferta 189-3 (Caja Marron 2,87) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 2008,SPC Oferta 2008 (1220*182*5/0.3) - -
Outlet SPC,Outlet SPC,Spc Oferta 2304 02,"SPC Oferta 2304-02 (4mm+1 EVA / 0,3 wl) - -"
Outlet SPC,Outlet SPC,"Spc Oferta 239 8 Base 2,36","SPC Oferta 239-8 (1218*176*5,5/0,5 EIR) Base 2,36 5.5 mm (0.5 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 2403,"SPC Oferta 2403 (1830*230*6,5+1/0.5) - -"
Outlet SPC,Outlet SPC,Spc Oferta 2639 5,"SPC Oferta 2639-5 (Caja Marron 2,43) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,"Spc Oferta 318 22 Base: 2,36","SPC Oferta 318-22 (1218*176*5.5*0.55) Base: 2,36 - -"
Outlet SPC,Outlet SPC,Spc Oferta 3301,SPC Oferta 3301 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 402 42,"SPC Oferta 402-42 (1545*182*4+1manto/0.3mm*2,81*10 Piezas) - -"
Outlet SPC,Outlet SPC,"Spc Oferta 402 Base: 3,11","SPC Oferta 402 (1220*182*4*0.2) Base: 3,11 - -"
Outlet SPC,Outlet SPC,Spc Oferta 42101 Base 2.81,SPC Oferta 42101 Base 2.81 (935*150*4MM/0.3) 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 42102,SPC Oferta 42102 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 42104,SPC Oferta 42104 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 43102,"SPC Oferta 43102 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43104,"SPC Oferta 43104 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43109,"SPC Oferta 43109 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43110,"SPC Oferta 43110 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43110 + 1.5 Eva,"SPC Oferta 43110 (Base 2,41) 4 mm (0.3 wl) + 1.5 EVA -"
Outlet SPC,Outlet SPC,Spc Oferta 43115,SPC Oferta 43115 (935*150*4/0.3) 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 43117,SPC Oferta 43117 (935*150*4/0.3) 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 43120,SPC Oferta 43120 (935*150*4/0.3) 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 43126,"SPC Oferta 43126 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43127,"SPC Oferta 43127 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 43130,"SPC Oferta 43130 (935*150*4/0.3 x 2,81) 4 mm (0.3 wl) -"
Outlet SPC,Outlet SPC,Spc Oferta 44 1092 15,"SPC Oferta 44 1092-15 (1540*230*5/0,5) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 1166 7,"SPC Oferta 44 1166-7 (1524*228*4/0,5+1 EVA) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 2008,SPC Oferta 44 2008 (1220*182*4+1 EVA*0.3wl) - -
Outlet SPC,Outlet SPC,Spc Oferta 44 2589 4B,"SPC Oferta 44 2589-4B (1524*228*7/0,5) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 3221 1F,"SPC Oferta 44 3221-1F (1524*228*4,5/0,55+1,5 EVA) - -"
Outlet SPC,Outlet SPC,"Spc Oferta 44 8028 Sundance Canyon Hickory Caja Blanca Lifeproof + 1,5 Eva + 0.5Wl","SPC Oferta 44 8028 Sundance Canyon Hickory Caja Blanca LifeProof 5mm + 1,5 EVA + 0.5wl -"
Outlet SPC,Outlet SPC,Spc Oferta 44 8060,"SPC Oferta 44 8060 (1522*225*4,2/O,55+1 IXPE) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 8061,"SPC Oferta 44 8061 (1522*225*4,2/O,55+1 IXPE) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 8074,"SPC Oferta 44 8074 (1220*180*4/O,5+1 IXPE) - -"
Outlet SPC,Outlet SPC,Spc Oferta 44 9018,SPC Oferta 44 9018 (1220*182*4+1 EVA*0.3wl) - -
Outlet SPC,Outlet SPC,Spc Oferta 44 Age Walnut 008 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Age Walnut -008 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Country Oak 011 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Country Oak -011 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Golden Cedar 007 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Golden Cedar -007 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Honey Maple 012 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Honey Maple -012 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Ice White 010 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Ice White -010 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Ivory White 006 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Ivory White -006 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 Light Wheat 009 (Base De Caja Mal Etiquetada),"SPC Oferta 44 Light Wheat -009 (5mm+1,5/0,5wl) (Base de caja mal etiquetada)"
Outlet SPC,Outlet SPC,Spc Oferta 44 S B 209,SPC Oferta 44 S-B-4mm-209 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W 001,SPC Oferta 44 S-W-4mm-001 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W 002,SPC Oferta 44 S-W-4mm-002 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W 007,SPC Oferta 44 S-W-6mm-007 6 mm -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W 023,SPC Oferta 44 S-W-4mm-023 4 mm (0.3 wl) -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W E 028 + 1.5 Eva,SPC Oferta 44 S-W-E-4mm-028 4 mm (0.3 wl) + 1.5 EVA -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W E 068 + 1.5 Eva,SPC Oferta 44 S-W-E-4mm-068 4 mm (0.3 wl) + 1.5 EVA -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W E 068 + Eva + 0.3 Wl,SPC Oferta 44 S-W-E-5mm-068 5mm + 1.5mm EVA + 0.3 wl -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W E 122 + 1.5 Eva,SPC Oferta 44 S-W-E-4mm-122 4 mm (0.3 wl) + 1.5 EVA -
Outlet SPC,Outlet SPC,Spc Oferta 44 S W E 140 + 1 Ixpe,SPC Oferta 44 S-W-E-4mm-140 4 mm (0.3 wl) + 1 IXPE -
